HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
4,10,1,36,5,23,0,9
0,0,1,25,5,23,0,9
3,22,5,36,5,23,0,9
5,9,5,9,5,23,0,9
20,13,8,0,5,23,0,9
41,2,19,1,5,23,0,9
7,51,7,44,5,23,0,9
20,4,5,34,5,23,0,9
20,5,23,30,5,23,0,9
24,2,23,1,5,23,0,9
11,0,19,16,5,23,0,9
5,4,15,0,5,23,0,9
25,4,20,9,5,23,0,9
9,9,2,53,5,23,0,9
3,3,3,2,5,23,0,9
2,4,29,1,5,23,0,9
5,1,4,23,5,23,0,9
22,6,39,3,5,23,0,9
30,41,41,18,5,23,0,9
26,1,39,35,5,23,0,9
5,1,5,0,5,23,0,9
1,2,5,1,5,23,0,9
2,2,4,1,5,23,0,9
29,3,27,0,5,23,0,9
1,3,0,5,5,23,0,9
13,0,9,0,5,23,0,9
0,0,0,1,5,23,0,9
227,730,0,2,36,0,17,4700
38,136,197,28,36,0,17,4700
586,142,331,1,36,0,17,4700
0,206,0,0,36,0,17,4700
175,101,0,0,36,0,17,4700
0,581,0,0,36,0,17,4700
0,169,0,159,36,0,17,4700
0,101,0,0,36,0,17,4700
339,718,398,125,36,0,17,4700
21,39,398,212,36,0,17,4700
10,417,0,2,36,0,17,4700
0,58,398,2,36,0,17,4700
0,876,0,0,36,0,17,4700
0,980,399,0,36,0,17,4700
339,718,175,204,36,0,17,4700
371,751,0,0,36,0,17,4700
175,366,177,13,36,0,17,4700
407,779,411,74,36,0,17,4700
420,244,474,5,36,0,17,4700
175,45,0,11,36,0,17,4700
257,74,1171,162,36,0,17,4700
175,101,0,6,36,0,17,4700
0,0,0,35,36,0,17,4700
351,493,0,2529,36,0,17,4700
0,801,0,20,36,0,17,4700
383,647,175,2310,36,0,17,4700
20,101,177,210,36,0,17,4700
175,101,175,2,36,0,17,4700
0,611,0,2360,36,0,17,4700
0,54,2,0,36,0,17,4700
175,759,0,396,36,0,17,4700
175,596,0,0,36,0,17,4700
2,7,0,1,0,0,0,3
0,3,0,1,0,0,0,3
2,5,2,4,0,0,0,3
0,3,0,5,0,0,0,3
0,4,0,2,0,0,0,3
0,5,3,5,0,0,0,3
0,2,0,5,0,0,0,3
0,1,0,4,0,0,0,3
8,0,2,14,0,0,0,3
4,2,5,2,0,0,0,3
1,3,0,0,0,0,0,3
6,3,6,5,0,0,0,3
0,0,3,2,0,0,0,3
0,0,1,0,0,0,0,3
0,2,1,1,0,0,0,3
4,0,1,0,0,0,0,3
5,2,1,3,0,0,0,3
10,0,9,15,0,0,0,3
8,2,10,15,0,0,0,3
4,6,1,2,0,0,0,3
1,8,5,2,0,0,0,3
0,1,0,1,0,0,0,3
0,0,1,0,0,0,0,3
0,2,0,4,0,0,0,3
0,2,0,2,0,0,0,3
2,0,0,3,0,0,0,3
0,2,2,0,0,0,0,3
8,3,0,0,0,0,0,3
4,1,0,5,0,0,0,3
0,0,0,12,0,0,0,3
0,1,2,0,0,0,0,3
0,13,0,1,0,0,0,3
5,11,4,1,1,3,0,22
5,13,12,0,1,3,0,22
0,6,9,8,1,3,0,22
19,9,16,9,1,3,0,22
11,10,14,5,1,3,0,22
11,1,9,5,1,3,0,22
15,1,13,6,1,3,0,22
14,0,10,5,1,3,0,22
10,16,3,52,1,3,0,22
7,13,0,34,1,3,0,22
2,17,7,41,1,3,0,22
5,10,5,8,1,3,0,22
3,2,3,6,1,3,0,22
5,0,3,1,1,3,0,22
11,2,9,0,1,3,0,22
4,1,2,7,1,3,0,22
6,17,2,2,1,3,0,22
5,10,7,52,1,3,0,22
3,13,6,52,1,3,0,22
14,5,13,9,1,3,0,22
1,2,3,9,1,3,0,22
12,7,13,2,1,3,0,22
1,0,6,1,1,3,0,22
3,8,3,0,1,3,0,22
30,7,11,31,1,3,0,22
6,9,10,1,1,3,0,22
11,10,13,1,1,3,0,22
3,11,4,20,1,3,0,22
16,1,5,9,1,3,0,22
1,1,0,0,4,1,2,223
1,2,0,9,4,1,2,223
23,1,17,3,4,1,2,223
0,2,0,4,4,1,2,223
2,2,0,1,4,1,2,223
0,3,0,3,4,1,2,223
0,2,0,17,4,1,2,223
0,2,0,1,4,1,2,223
3,2,20,107,4,1,2,223
1,1,4,0,4,1,2,223
1,1,0,2,4,1,2,223
11,1,15,3,4,1,2,223
1,6,2,1,4,1,2,223
0,1,1,1,4,1,2,223
4,0,4,3,4,1,2,223
4,2,1,1,4,1,2,223
0,0,0,20,4,1,2,223
17,2,55,105,4,1,2,223
9,8,117,105,4,1,2,223
0,1,0,12,4,1,2,223
21,3,12,5,4,1,2,223
0,1,0,19,4,1,2,223
0,4,0,0,4,1,2,223
0,3,0,18,4,1,2,223
0,1,2,75,4,1,2,223
0,8,0,0,4,1,2,223
1,2,0,1,4,1,2,223
0,24,0,2,4,1,2,223
0,3,0,1,4,1,2,223
93,1212,74,26,37,382,4,576
163,661,92,166,37,382,4,576
7,376,17,557,37,382,4,576
